MG-RAST id,order of rows in Figure 5,virome/total_comm,project,sample id,genome project id,Pubmed id,percentage reads crAssphage,crAssphage reads,total reads,Biome,Feature,Material,Environmental Package
4472731.3,841,total_community,Human Microbiome Project (HMP),SRR061291,,19819907,2.02435E-05,2,9879716,terrestrial biome,human-associated habitat,organic material,human-skin
4472375.3,545,total_community,Human Microbiome Project (HMP),SRR059929,,19819907,1.97923E-05,14,70734403,terrestrial biome,human-associated habitat,mucus,human-oral
4473332.3,597,total_community,Human Microbiome Project (HMP),SRR062356,,19819907,1.96532E-05,8,40705848,terrestrial biome,human-associated habitat,mucus,human-oral
4473436.3,336,total_community,Human Microbiome Project (HMP),SRR062460,,19819907,1.95785E-05,9,45968724,terrestrial biome,human-associated habitat,feces,human-gut
4472590.3,313,total_community,Human Microbiome Project (HMP),SRR061144,,19819907,1.94407E-05,14,72014034,terrestrial biome,human-associated habitat,feces,human-gut
4472501.3,902,total_community,Human Microbiome Project (HMP),SRR060393,,19819907,1.93158E-05,2,10354193,terrestrial biome,human-associated habitat,mucus,human-vaginal
4473330.3,616,total_community,Human Microbiome Project (HMP),SRR062354,,19819907,1.91642E-05,6,31308445,terrestrial biome,human-associated habitat,mucus,human-oral
4478438.3,816,total_community,Human Microbiome Project (HMP),SRR061921,,19819907,1.90748E-05,6,31455165,terrestrial biome,human-associated habitat,organic material,human-skin
4473477.3,725,total_community,Human Microbiome Project (HMP),SRR062503,,19819907,1.89002E-05,8,42327702,terrestrial biome,human-associated habitat,mucus,human-oral
4478503.3,620,total_community,Human Microbiome Project (HMP),SRR062295,,19819907,1.88983E-05,8,42331883,terrestrial biome,human-associated habitat,mucus,human-oral
4478454.3,670,total_community,Human Microbiome Project (HMP),SRR061970,,19819907,1.81118E-05,2,11042518,terrestrial biome,human-associated habitat,mucus,human-oral
4473366.3,330,total_community,Human Microbiome Project (HMP),SRR062390,,19819907,1.7996E-05,8,44454274,terrestrial biome,human-associated habitat,feces,human-gut
4473027.3,666,total_community,Human Microbiome Project (HMP),SRR061587,,19819907,1.79527E-05,10,55701863,terrestrial biome,human-associated habitat,mucus,human-oral
4472329.3,566,total_community,Human Microbiome Project (HMP),SRR059883,,19819907,1.75631E-05,10,56937653,terrestrial biome,human-associated habitat,mucus,human-oral
4472347.3,331,total_community,Human Microbiome Project (HMP),SRR059901,,19819907,1.75082E-05,13,74250819,terrestrial biome,human-associated habitat,feces,human-gut
4473253.3,830,total_community,Human Microbiome Project (HMP),SRR062108,,19819907,1.75068E-05,2,11424149,terrestrial biome,human-associated habitat,organic material,human-skin
4472295.3,573,total_community,Human Microbiome Project (HMP),SRR059847,,19819907,1.73313E-05,10,57699081,terrestrial biome,human-associated habitat,mucus,human-oral
4478446.3,659,total_community,Human Microbiome Project (HMP),SRR061945,,19819907,1.71932E-05,4,23264947,terrestrial biome,human-associated habitat,mucus,human-oral
